,kidney epithelial cell,b cell,cd8-positive alpha-beta t cell,endothelial cell,macrophage,nk cell,cd4-positive helper t cell
ASNSP1,0,0,0,0,0.0311526479750779,0,0.00597540647285419
ASNSP4,0,0.00550396561273032,0,0,0,0,0
TRIM60P15,0,0,0,0,0,0,0
LINC00293,0,0,0,0,0,0,0
MTND2P38,0,0,0,0,0,0,0
MTND1P7,0,0,0,0,0,0,0
RNU6-656P,0,0,0,0,0,0,0
MTCYBP20,0,0,0,0,0,0,0
MTND6P20,0,0,0,0,0,0,0
MAPK6P4,0.00120033609410635,0,0,0,0,0,0
