,Endothelial Cells,Cardiac Muscle Cells,Hepatocyte,Smooth Muscle Cells,Cardiac Fibroblast,Macrophages
MBD3,0.477739967914616,0.860062495136658,0.829430756572193,0.407932121474464,0.60563274872303,0.578352335337046
UQCR11,1.6392157611217,3.03482524672786,2.41887809083044,1.71271437945197,1.21869760684669,1.45274511221293
TCF3,0.500535803164511,0.49377002566329,1.27949927354538,0.257197446651287,0.188692464351654,0.0483630439518271
RNU6-1223P,0,0.00138792505204719,0,0,0,0
RF00017-134,0,0,0,0,0,0
ONECUT3,0.00375234521575985,0.00138792505204719,0.0410563146662997,0,0,0
ATP8B3,0.0953214921965832,0.0376817059963631,0.0228411825125758,0.045045045045045,0,0
REXO1,0.42766007301284,0.372978818562401,0.366442533509243,0.295543520300238,0.230266978025436,0.222736897500786
MIR1909,0,0,0,0,0,0
KLF16,0.244141307557054,0.297971164898935,0.277035294430753,0.128950330051216,0.154748777389526,0.256221352396785
ABHD17A,1.56911729630956,0.838805761656192,0.566223308526123,0.480005432054535,0.479631319880486,0.97341115883476
SCAMP4,0.33397876414528,0.383714215288884,0.582487436502324,0.315289263789718,0.316909724831581,0.161841376407726
ADAT3,0.0810034012928689,0.359816448610744,0.360529335515011,0.0900900900900901,0.147890285491943,0
CSNK1G2,0.363067721761414,0.439886127026606,0.555826141280905,0.235812395542592,0.261465865135193,0.47870942386421
CSNK1G2-AS1,0,0,0,0,0.04,0.0634723273483483
BTBD2,0.35940910572602,0.631047695209734,0.726537733243845,0.374832689921531,0.539918961048126,0.631042949956011
MKNK2,0.638125427553734,0.262174340198172,0.430334931466971,0.427140873663866,0.440238800823688,0.867362158473682
MOB3A,0.219560805757095,0.18197061760735,0.170910333374753,0.153512310203131,0.374744880288839,0.594688540777645
IZUMO4,0.0496113714536627,0.145931729047684,0.173860629728018,0.301902603458714,0.121905109405518,0
AP3D1,0.610239688975223,1.02073665921183,1.01606113794093,0.585204757280178,0.222516483038664,0.603262262167157
DOT1L,0.184333405505314,0.635722434342859,0.467269202018682,0.126434408866607,0.190743807315826,0.200856942985509
PLEKHJ1,0.646986225581122,2.40003806729022,2.05296046264244,0.318047884482521,0.419811815202236,0.548631159639036
MIR1227,0,0,0,0,0,0
MIR6789,0,0,0,0,0,0
SF3A2,0.662228325439886,0.557040898564823,0.895867297417314,0.253993788549492,0.359594895631075,0.444497680744609
AMH,0.0891356024464792,0.561856856551293,0.591178255523422,0,0.0697659149169922,0
MIR4321,0,0,0,0,0,0
JSRP1,0.00508000023635087,0.0530575377754169,0.0410376636668889,0,0,0
OAZ1,1.85608486313518,2.37527938981093,2.14317837310998,1.79579790030514,2.0116424728632,2.28956676496042
PEAK3,0.0165125339188898,0.00168902792920676,0.00184377932132549,0,0,0.27027027027027
LINGO3,0,0.0236590641228215,0.0557077680846986,0,0,0
LSM7,0.955186650246438,1.70949251845758,2.42266754146505,0.721098897827638,0.780081571474671,0.934642604879431
SPPL2B,0.34503523672723,0.431863751066467,0.423169676402603,0.167172158623601,0.25200407281518,0.116869900677655
TMPRSS9,0,0.0101900153653147,0.00666680677534792,0.0321174634469522,0,0
TIMM13,0.874962483581302,2.52494530705509,2.40423475051277,0.313269192302549,0.744750576555729,1.0665691526657
LMNB2,0.506385375299328,0.583309549203894,0.880791237777915,0.383309434126089,0.502048189640045,0.25027102393073
MIR7108,0,0,0,0,0,0
LINC01775,0,0.00138792505204719,0.0275482093663912,0,0,0
GADD45B,0.495330986887825,0.111111715542492,0.383505563823809,1.44873571906004,1.76492770349979,0.530253691045014
RNU6-993P,0,0,0,0,0,0
GNG7,0.0533208792473541,0.255044421609452,0.148036422821992,0.0811820722915031,0.119102023124695,0.109449293162372
ELOCP28,0.013118703459262,0.00269004926343993,0.0120846680044799,0,0,0
RN7SL121P,0.00375234521575985,0.00555170020818876,0,0,0,0
MIR7850,0,0,0,0,0,0
DIRAS1,0.00190375329853222,0.143672100427166,0.13810616737117,0.0896287866540857,0,0
SLC39A3,0.424823181020833,0.561654992661155,0.822913841357244,0.504529246338853,0.335922076463699,0.271418407156661
SGTA,0.740166641522975,0.839249501942471,0.877224808854724,0.518375850156755,0.516928073406219,0.569588548428304
THOP1,0.21924567137256,0.482508217397041,0.809763924778876,0.316228570164861,0.305967473983765,0.48396656642089
ZNF554,0.0953823349041966,0.325396396880511,0.215994291616428,0.0653121836550601,0.0343290481567383,0.256794993941848
